seed,optimal_nc,dampening_factor,train_baseline_mae,train_ml_nc_mae,train_final_mae,test_baseline_mae,test_ml_nc_mae,test_final_mae,test_final_within_050,test_final_within_100,improvement_percent
42,1.33,0.7000000000000002,1.6373900446781355,1.420053607663065,1.2932982227979286,1.3699087599865085,1.0159264819213278,1.0004978903785682,46.666666666666664,70.0,26.966092954364235
123,1.33,0.7000000000000002,1.595228781964476,1.3382289749137342,1.208773375554617,1.4640689133803486,1.1986681617281667,1.1482438735143572,50.0,63.33333333333333,21.571733200508415
456,1.33,0.7000000000000002,1.6636290326073153,1.4511030990570524,1.3032092608143482,1.311308353611341,0.9465826178080893,0.9163584807697635,40.0,63.33333333333333,30.118764343557046
789,1.33,0.7000000000000002,1.4877617247593493,1.2216709426010974,1.1072435074915736,1.7040786744717986,1.458981100559722,1.541273725773434,33.33333333333333,46.666666666666664,9.553839921670766
2024,1.33,0.7000000000000002,1.7378979462992052,1.4662226431261542,1.3646949090384806,1.1454411130327875,0.9128156360537611,0.892369700958977,33.33333333333333,56.666666666666664,22.0937950623889
